Algorithm,DataType,DataSize,ExecutionTime(ms),Comparisons
Standard MergeSort,ReverseSorted,1200,3.531292,5920
Standard MergeSort,NearlySorted,1200,3.283834,8738
Standard MergeSort,CommonPrefix,1200,5.572792,10781
String QuickSort,Random,1200,0.991416,0
String QuickSort,ReverseSorted,1200,2.251708,0
String QuickSort,NearlySorted,1200,1.785667,0
String QuickSort,CommonPrefix,1200,1.214541,0
String MergeSort with LCP,Random,1200,5.777708,14477
String MergeSort with LCP,ReverseSorted,1200,4.933916,9594
String MergeSort with LCP,NearlySorted,1200,5.357083,12730
String MergeSort with LCP,CommonPrefix,1200,10.771250,133097
MSD Radix Sort,Random,1200,3.788791,0
MSD Radix Sort,ReverseSorted,1200,4.520667,0
MSD Radix Sort,NearlySorted,1200,4.465250,0
MSD Radix Sort,CommonPrefix,1200,11.158750,0
Hybrid MSD Radix Sort,Random,1200,0.699875,0
Hybrid MSD Radix Sort,ReverseSorted,1200,1.566791,0
Hybrid MSD Radix Sort,NearlySorted,1200,0.929667,0
Hybrid MSD Radix Sort,CommonPrefix,1200,15.944167,0
Standard QuickSort,Random,1300,1.842334,16394
Standard QuickSort,ReverseSorted,1300,1.283125,11522
Standard QuickSort,NearlySorted,1300,1.183042,11071
Standard QuickSort,CommonPrefix,1300,1.803750,15707
Standard MergeSort,Random,1300,4.118334,11825
Standard MergeSort,ReverseSorted,1300,3.487417,6480
Standard MergeSort,NearlySorted,1300,4.049459,9371
Standard MergeSort,CommonPrefix,1300,6.181375,11841
String QuickSort,Random,1300,1.026291,0
String QuickSort,ReverseSorted,1300,2.365084,0
String QuickSort,NearlySorted,1300,2.103333,0
String QuickSort,CommonPrefix,1300,1.370750,0
String MergeSort with LCP,Random,1300,6.389208,16021
String MergeSort with LCP,ReverseSorted,1300,5.341916,10231
String MergeSort with LCP,NearlySorted,1300,5.650083,13726
String MergeSort with LCP,CommonPrefix,1300,11.595584,146260
MSD Radix Sort,Random,1300,4.105875,0
MSD Radix Sort,ReverseSorted,1300,4.968166,0
MSD Radix Sort,NearlySorted,1300,4.840333,0
MSD Radix Sort,CommonPrefix,1300,12.475125,0
Hybrid MSD Radix Sort,Random,1300,0.770291,0
Hybrid MSD Radix Sort,ReverseSorted,1300,1.691958,0
Hybrid MSD Radix Sort,NearlySorted,1300,1.015084,0
Hybrid MSD Radix Sort,CommonPrefix,1300,12.472667,0
Standard QuickSort,Random,1400,1.901625,17728
Standard QuickSort,ReverseSorted,1400,1.416625,12517
Standard QuickSort,NearlySorted,1400,1.379833,12133
Standard QuickSort,CommonPrefix,1400,1.804875,15995
Standard MergeSort,Random,1400,4.641542,12908
Standard MergeSort,ReverseSorted,1400,3.781542,7044
Standard MergeSort,NearlySorted,1400,3.906292,10455
Standard MergeSort,CommonPrefix,1400,6.776167,12939
String QuickSort,Random,1400,1.138208,0
String QuickSort,ReverseSorted,1400,2.727500,0
String QuickSort,NearlySorted,1400,2.344791,0
String QuickSort,CommonPrefix,1400,1.489250,0
String MergeSort with LCP,Random,1400,6.845375,17616
String MergeSort with LCP,ReverseSorted,1400,5.983375,11169
String MergeSort with LCP,NearlySorted,1400,6.110334,15203
String MergeSort with LCP,CommonPrefix,1400,12.927250,159931
MSD Radix Sort,Random,1400,4.418917,0
MSD Radix Sort,ReverseSorted,1400,5.399750,0
MSD Radix Sort,NearlySorted,1400,5.246583,0
MSD Radix Sort,CommonPrefix,1400,13.721125,0
Hybrid MSD Radix Sort,Random,1400,0.960875,0
Hybrid MSD Radix Sort,ReverseSorted,1400,1.835958,0
Hybrid MSD Radix Sort,NearlySorted,1400,1.071834,0
Hybrid MSD Radix Sort,CommonPrefix,1400,20.455666,0
Standard QuickSort,Random,1500,1.909334,17290
Standard QuickSort,ReverseSorted,1500,1.519042,13601
Standard QuickSort,NearlySorted,1500,1.466291,13224
Standard QuickSort,CommonPrefix,1500,2.008500,17781
Standard MergeSort,Random,1500,4.939625,13931
Standard MergeSort,ReverseSorted,1500,4.291250,7664
Standard MergeSort,NearlySorted,1500,4.187667,11238
Standard MergeSort,CommonPrefix,1500,7.321500,13974
String QuickSort,Random,1500,1.205125,0
String QuickSort,ReverseSorted,1500,2.987458,0
String QuickSort,NearlySorted,1500,2.670042,0
String QuickSort,CommonPrefix,1500,1.607709,0
String MergeSort with LCP,Random,1500,7.331167,19108
String MergeSort with LCP,ReverseSorted,1500,6.820250,12194
String MergeSort with LCP,NearlySorted,1500,6.509792,16373
String MergeSort with LCP,CommonPrefix,1500,13.880042,172858
MSD Radix Sort,Random,1500,4.881542,0
MSD Radix Sort,ReverseSorted,1500,5.827000,0
MSD Radix Sort,NearlySorted,1500,5.759083,0
MSD Radix Sort,CommonPrefix,1500,14.725625,0
Hybrid MSD Radix Sort,Random,1500,0.927458,0
Hybrid MSD Radix Sort,ReverseSorted,1500,1.995083,0
Hybrid MSD Radix Sort,NearlySorted,1500,1.155750,0
Hybrid MSD Radix Sort,CommonPrefix,1500,15.911084,0
Standard QuickSort,Random,1600,2.239250,20446
Standard QuickSort,ReverseSorted,1600,1.632875,14659
Standard QuickSort,NearlySorted,1600,1.642208,14433
Standard QuickSort,CommonPrefix,1600,2.200125,20616
Standard MergeSort,Random,1600,5.328792,15039
Standard MergeSort,ReverseSorted,1600,4.436625,8256
Standard MergeSort,NearlySorted,1600,4.512083,12326
Standard MergeSort,CommonPrefix,1600,7.920167,15059
String QuickSort,Random,1600,1.418875,0
String QuickSort,ReverseSorted,1600,3.303333,0
String QuickSort,NearlySorted,1600,3.088166,0
String QuickSort,CommonPrefix,1600,1.752209,0
String MergeSort with LCP,Random,1600,8.054750,20716
String MergeSort with LCP,ReverseSorted,1600,6.708000,13019
String MergeSort with LCP,NearlySorted,1600,7.138250,17667
String MergeSort with LCP,CommonPrefix,1600,15.162333,186359
MSD Radix Sort,Random,1600,5.372458,0
MSD Radix Sort,ReverseSorted,1600,6.189250,0
MSD Radix Sort,NearlySorted,1600,6.034209,0
MSD Radix Sort,CommonPrefix,1600,16.342541,0
Hybrid MSD Radix Sort,Random,1600,0.962791,0
Hybrid MSD Radix Sort,ReverseSorted,1600,2.090709,0
Hybrid MSD Radix Sort,NearlySorted,1600,1.214959,0
Hybrid MSD Radix Sort,CommonPrefix,1600,20.705917,0
Standard QuickSort,Random,1700,2.096375,18335
Standard QuickSort,ReverseSorted,1700,1.726000,15639
Standard QuickSort,NearlySorted,1700,1.872209,15518
Standard QuickSort,CommonPrefix,1700,2.281333,21100
Standard MergeSort,Random,1700,5.568167,16149
Standard MergeSort,ReverseSorted,1700,4.680458,8836
Standard MergeSort,NearlySorted,1700,5.141500,13370
Standard MergeSort,CommonPrefix,1700,8.431042,16110
String QuickSort,Random,1700,1.490209,0
String QuickSort,ReverseSorted,1700,3.656417,0
String QuickSort,NearlySorted,1700,3.306375,0
String QuickSort,CommonPrefix,1700,1.848041,0
String MergeSort with LCP,Random,1700,8.380750,22320
String MergeSort with LCP,ReverseSorted,1700,7.192708,13898
String MergeSort with LCP,NearlySorted,1700,7.479375,19015
String MergeSort with LCP,CommonPrefix,1700,15.905250,199453
MSD Radix Sort,Random,1700,5.541834,0
MSD Radix Sort,ReverseSorted,1700,6.436625,0
MSD Radix Sort,NearlySorted,1700,6.469541,0
MSD Radix Sort,CommonPrefix,1700,15.972792,0
Hybrid MSD Radix Sort,Random,1700,1.060833,0
Hybrid MSD Radix Sort,ReverseSorted,1700,2.258417,0
Hybrid MSD Radix Sort,NearlySorted,1700,1.301166,0
Hybrid MSD Radix Sort,CommonPrefix,1700,18.078167,0
Standard QuickSort,Random,1800,2.513125,22455
Standard QuickSort,ReverseSorted,1800,1.888834,16667
Standard QuickSort,NearlySorted,1800,1.777917,16570
Standard QuickSort,CommonPrefix,1800,2.361542,20616
Standard MergeSort,Random,1800,6.038917,17167
Standard MergeSort,ReverseSorted,1800,4.960958,9508
Standard MergeSort,NearlySorted,1800,5.147042,13934
Standard MergeSort,CommonPrefix,1800,8.836958,17168
String QuickSort,Random,1800,1.585750,0
String QuickSort,ReverseSorted,1800,4.068625,0
String QuickSort,NearlySorted,1800,3.631958,0
String QuickSort,CommonPrefix,1800,1.947041,0
String MergeSort with LCP,Random,1800,8.974959,23866
String MergeSort with LCP,ReverseSorted,1800,7.634625,14877
String MergeSort with LCP,NearlySorted,1800,8.274583,19879
String MergeSort with LCP,CommonPrefix,1800,17.049208,212657
MSD Radix Sort,Random,1800,5.932166,0
MSD Radix Sort,ReverseSorted,1800,6.908334,0
MSD Radix Sort,NearlySorted,1800,7.006667,0
MSD Radix Sort,CommonPrefix,1800,17.660916,0
Hybrid MSD Radix Sort,Random,1800,1.240041,0
Hybrid MSD Radix Sort,ReverseSorted,1800,2.333833,0
Hybrid MSD Radix Sort,NearlySorted,1800,1.379459,0
Hybrid MSD Radix Sort,CommonPrefix,1800,19.507625,0
Standard QuickSort,Random,1900,2.495167,22040
Standard QuickSort,ReverseSorted,1900,1.962167,17738
Standard QuickSort,NearlySorted,1900,1.913583,17786
Standard QuickSort,CommonPrefix,1900,2.488583,21757
Standard MergeSort,Random,1900,6.447791,18268
Standard MergeSort,ReverseSorted,1900,5.344709,10144
Standard MergeSort,NearlySorted,1900,5.397375,14723
Standard MergeSort,CommonPrefix,1900,9.623958,18320
String QuickSort,Random,1900,1.787709,0
String QuickSort,ReverseSorted,1900,4.442041,0
String QuickSort,NearlySorted,1900,4.028333,0
String QuickSort,CommonPrefix,1900,2.054708,0
String MergeSort with LCP,Random,1900,9.417209,25490
String MergeSort with LCP,ReverseSorted,1900,8.004083,15857
String MergeSort with LCP,NearlySorted,1900,8.376166,20904
String MergeSort with LCP,CommonPrefix,1900,18.461416,226992
MSD Radix Sort,Random,1900,6.289333,0
MSD Radix Sort,ReverseSorted,1900,7.235834,0
MSD Radix Sort,NearlySorted,1900,7.226209,0
MSD Radix Sort,CommonPrefix,1900,17.766250,0
Hybrid MSD Radix Sort,Random,1900,1.220583,0
Hybrid MSD Radix Sort,ReverseSorted,1900,2.492500,0
Hybrid MSD Radix Sort,NearlySorted,1900,1.450625,0
Hybrid MSD Radix Sort,CommonPrefix,1900,22.436750,0
Standard QuickSort,Random,2000,2.656750,23623
Standard QuickSort,ReverseSorted,2000,2.137750,18799
Standard QuickSort,NearlySorted,2000,2.033834,18966
Standard QuickSort,CommonPrefix,2000,2.746792,24702
Standard MergeSort,Random,2000,6.731167,19397
Standard MergeSort,ReverseSorted,2000,5.773625,10864
Standard MergeSort,NearlySorted,2000,5.750000,15420
Standard MergeSort,CommonPrefix,2000,10.308875,19408
String QuickSort,Random,2000,1.933333,0
String QuickSort,ReverseSorted,2000,4.807750,0
String QuickSort,NearlySorted,2000,4.359709,0
String QuickSort,CommonPrefix,2000,2.301042,0
String MergeSort with LCP,Random,2000,10.252875,27141
